National ID,First Name,Last Name,Email,Department,Active
28881338800,Ayfer,Ergin,ayfer.ergin@musaade.com,Management,True
53864878050,Muzaffer,Topal,muzaffer.topal@musaade.com,Management,True
24377781990,Ozgur,Oguz,ozgur.oguz@musaade.com,Human Resources,True
46578712052,Sahin,Erdogan,sahin.erdogan@musaade.com,Research,True
13494899670,Hanim,Kaya,hanim.kaya@musaade.com,Management,True
25745372204,Sevim,Bayrak,sevim.bayrak@musaade.com,Logistics,True
17688192165,Ali,Yigit,ali.yigit@musaade.com,Marketing,True
25052209408,Rahime,Yildiz,rahime.yildiz@musaade.com,Logistics,True
32481274769,Gulsen,Eroglu,gulsen.eroglu@musaade.com,Logistics,True
26300303526,Leyla,Sezer,leyla.sezer@musaade.com,Logistics,True
12952533436,Halime,Cengiz,halime.cengiz@musaade.com,Development,True
11449674254,Aysel,Koca,aysel.koca@musaade.com,Research,True
15056758935,Orhan,Balci,orhan.balci@musaade.com,Marketing,True
11721429120,Ihsan,Cevik,ihsan.cevik@musaade.com,Marketing,True
33166930376,Sevda,Erdem,sevda.erdem@musaade.com,Management,True
84999982673,Meryem,Gurbuz,meryem.gurbuz@musaade.com,Sales,True
27487799042,Kazim,Sener,kazim.sener@musaade.com,Development,True
30039216674,Remziye,Guzel,remziye.guzel@musaade.com,Development,True
22541670797,Cigdem,Saglam,cigdem.saglam@musaade.com,Sales,True
34489050849,Haci,Durmus,haci.durmus@musaade.com,Marketing,True
27347534297,Necati,Coskun,necati.coskun@musaade.com,Development,True
27105975478,Ismet,Ozer,ismet.ozer@musaade.com,Development,True
16388772709,Bekir,Demirci,bekir.demirci@musaade.com,Research,True
28007862337,Adnan,Kahraman,adnan.kahraman@musaade.com,Development,True
12144738307,Neriman,Dag,neriman.dag@musaade.com,Sales,True
30063719159,Nazmiye,Cetin,nazmiye.cetin@musaade.com,Management,True
81618594590,Abdulkadir,Ersoy,abdulkadir.ersoy@musaade.com,Research,True
27178921945,Gulten,Karaman,gulten.karaman@musaade.com,Research,True
30668776091,Engin,Uzun,engin.uzun@musaade.com,Development,True
52768953399,Ramazan,Karaca,ramazan.karaca@musaade.com,Logistics,True
13256356188,Gokhan,Oz,gokhan.oz@musaade.com,Management,True
17897717440,Sultan,Gumus,sultan.gumus@musaade.com,Logistics,True
20359460242,Ercan,Akkaya,ercan.akkaya@musaade.com,Management,True
29793322944,Salih,Altun,salih.altun@musaade.com,Development,True
25855959198,Metin,Ozel,metin.ozel@musaade.com,Research,True
22705076330,Bayram,Kaplan,bayram.kaplan@musaade.com,Marketing,True
33556892112,Abdurrahman,Turan,abdurrahman.turan@musaade.com,Research,True
30823011761,Yildiz,Donmez,yildiz.donmez@musaade.com,Marketing,True
21202858145,Nuri,Ozbek,nuri.ozbek@musaade.com,Sales,True
24609367546,Riza,Bal,riza.bal@musaade.com,Research,True
24086191176,Emin,Yildirim,emin.yildirim@musaade.com,Logistics,True
30440282338,Sedat,Colak,sedat.colak@musaade.com,Sales,True
26084441838,Zubeyde,Yasar,zubeyde.yasar@musaade.com,Sales,True
40324423073,Tugba,Efe,tugba.efe@musaade.com,Development,True
76694072644,Kadriye,Can,kadriye.can@musaade.com,Research,True
33279184764,Bulent,Gunes,bulent.gunes@musaade.com,Logistics,True
31827973587,Saban,Tasdemir,saban.tasdemir@musaade.com,Research,True
22876508917,Saliha,Gultekin,saliha.gultekin@musaade.com,Development,True
70716845575,Munevver,Caglar,munevver.caglar@musaade.com,Marketing,True
56819669324,Emrah,Ekinci,emrah.ekinci@musaade.com,Sales,True
16330691958,Meral,Sahin,meral.sahin@musaade.com,Marketing,True
64632095564,Ilhan,Caliskan,ilhan.caliskan@musaade.com,Development,True
28107081495,Zeynep,Polat,zeynep.polat@musaade.com,Research,True
13053866922,Nihat,Tas,nihat.tas@musaade.com,Development,True
19369708994,Ilknur,Karakas,ilknur.karakas@musaade.com,Management,True
23681165676,Hakan,Ates,hakan.ates@musaade.com,Sales,True
15882227077,Serkan,Aydin,serkan.aydin@musaade.com,Development,True
88533174637,Nurcan,Aydogdu,nurcan.aydogdu@musaade.com,Development,True
23406702274,Erhan,Aydemir,erhan.aydemir@musaade.com,Development,True
15661678418,Arzu,Guney,arzu.guney@musaade.com,Development,True
25595824136,Tulay,Aslan,tulay.aslan@musaade.com,Logistics,True
28374020209,Isa,Kucuk,isa.kucuk@musaade.com,Research,True
17058172581,Elif,Guler,elif.guler@musaade.com,Human Resources,True
38637307682,Musa,Demirtas,musa.demirtas@musaade.com,Logistics,True
21489691851,Saniye,Aktas,saniye.aktas@musaade.com,Management,True
30778038252,Ozlem,Yilmaz,ozlem.yilmaz@musaade.com,Sales,True
24409615382,Celal,Yuksel,celal.yuksel@musaade.com,Management,True
24139389243,Murat,Ari,murat.ari@musaade.com,Logistics,True
21787469755,Turkan,Gungor,turkan.gungor@musaade.com,Human Resources,True
25676528891,Ibrahim,Ucar,ibrahim.ucar@musaade.com,Research,True
26530346196,Erol,Tunc,erol.tunc@musaade.com,Marketing,True
16971568366,Sengul,Budak,sengul.budak@musaade.com,Development,True
33822208514,Zafer,Oner,zafer.oner@musaade.com,Logistics,True
27129578106,Bilal,Isik,bilal.isik@musaade.com,Marketing,True
31132753387,Hamide,Ozturk,hamide.ozturk@musaade.com,Logistics,True
24558999962,Necla,Kilinc,necla.kilinc@musaade.com,Human Resources,True
13108751822,Cemile,Cakmak,cemile.cakmak@musaade.com,Human Resources,True
16504316703,Cemal,Ugur,cemal.ugur@musaade.com,Human Resources,True
13950658445,Sukru,Dursun,sukru.dursun@musaade.com,Research,True
10189422748,Esma,Avci,esma.avci@musaade.com,Research,True
60244863633,Zekiye,Akyuz,zekiye.akyuz@musaade.com,Marketing,True
